"Data source: Fishbase, Froese, R. and D. Pauly. Editors. 2019. FishBase. World Wide Web electronic publication. www.fishbase.org",,
"Data accessed using: Boettiger, C., Lang, D. T., & Wainwright, P. C. (2012). rfishbase: exploring, manipulating and visualizing FishBase data from R. Journal of Fish Biology, 81, 2030Ð2039. Data downloaded on 21.8.2019.",,
,,
Species,mean minimum length at maturity,size at maturity
Ammodytes tobianus,11,small at maturity
Argyropelecus hemigymnus,2.5,small at maturity
Arnoglossus laterna,11,small at maturity
Arnoglossus thori,12,small at maturity
Balistes capriscus,13,small at maturity
Beryx splendens,24.5,small at maturity
Boops boops,14,small at maturity
Buglossidium luteum,6.5,small at maturity
Caranx rhonchus,20,small at maturity
Chelidonichthys cuculus,18,small at maturity
Clupea harengus,21.42,small at maturity
Dicologlossa cuneata,16.6,small at maturity
Diplodus annularis,8.24,small at maturity
Enchelyopus cimbrius,15,small at maturity
Engraulis encrasicolus,9.406,small at maturity
Eutrigla gurnardus,21,small at maturity
Glyptocephalus cynoglossus,25,small at maturity
Gobius niger,6,small at maturity
Hippoglossoides platessoides,19.66666667,small at maturity
Hymenocephalus italicus,2.5,small at maturity
Hyperoplus lanceolatus,11,small at maturity
Labrus bergylta,16,small at maturity
Lepidotrigla cavillone,8.25,small at maturity
Limanda limanda,14.07272727,small at maturity
Melanogrammus aeglefinus,27,small at maturity
Merlangius merlangus,28,small at maturity
Microchirus variegatus,14,small at maturity
Micromesistius poutassou,22.5,small at maturity
Microstomus kitt,20,small at maturity
Mullus surmuletus,13.32,small at maturity
Myctophum punctatum,5,small at maturity
Myoxocephalus scorpius,14.72,small at maturity
Myxine glutinosa,25,small at maturity
Nezumia aequalis,3.5,small at maturity
Pagellus acarne,15,small at maturity
Pagellus bellottii,8,small at maturity
Pagellus bogaraveo,22,small at maturity
Pagellus erythrinus,13.25,small at maturity
Pegusa lascaris,22.3,small at maturity
Phycis blennoides,25.5,small at maturity
Platichthys flesus,22.2,small at maturity
Pleuronectes platessa,28.92307692,small at maturity
Sardina pilchardus,13.42857143,small at maturity
Sebastes norvegicus,29.8,small at maturity
Sebastes viviparus,10,small at maturity
Serranus cabrilla,11.8,small at maturity
Solea solea,25.25,small at maturity
Sparus aurata,26.66666667,small at maturity
Spondyliosoma cantharus,22,small at maturity
Sprattus sprattus,9.45,small at maturity
Symphodus melops,11.66666667,small at maturity
Syngnathus acus,6.5,small at maturity
Trachurus picturatus,24.93333333,small at maturity
Trachurus trachurus,23.55555556,small at maturity
Trisopterus esmarkii,12.75,small at maturity
Trisopterus luscus,21,small at maturity
Trisopterus minutus,11.5,small at maturity
Zeus faber,25,small at maturity
Zoarces viviparus,16,small at maturity
Alosa alosa,37.5,large at maturity
Amblyraja radiata,55,large at maturity
Anarhichas lupus,50,large at maturity
Anguilla anguilla,37.5,large at maturity
Aphanopus carbo,80,large at maturity
Argyrosomus regius,80,large at maturity
Belone belone,45,large at maturity
Brosme brosme,50,large at maturity
Conger conger,50,large at maturity
Coryphaenoides rupestris,50,large at maturity
Dalatias licha,105.1666667,large at maturity
Deania calcea,71.66666667,large at maturity
Dicentrarchus labrax,31.0625,large at maturity
Etmopterus spinax,33,large at maturity
Gadus morhua,51.0037037,large at maturity
Galeorhinus galeus,125,large at maturity
Galeus melastomus,52,large at maturity
Hexanchus griseus,355,large at maturity
Hippoglossus hippoglossus,101,large at maturity
Lepidopus caudatus,91,large at maturity
Leucoraja fullonica,75,large at maturity
Leucoraja naevus,50.11428571,large at maturity
Lophius budegassa,42.725,large at maturity
Lophius piscatorius,53.84,large at maturity
Merluccius merluccius,32.69090909,large at maturity
Molva dypterygia,77.16,large at maturity
Molva molva,85,large at maturity
Mustelus asterias,81.5,large at maturity
Mustelus mustelus,75,large at maturity
Pollachius pollachius,34.4,large at maturity
Raja brachyura,68.65,large at maturity
Raja clavata,50.25,large at maturity
Raja microocellata,69.5,large at maturity
Raja montagui,60,large at maturity
Scomber scombrus,30,large at maturity
Scophthalmus maximus,44.66666667,large at maturity
Scophthalmus rhombus,36,large at maturity
Scyliorhinus canicula,48.4,large at maturity
Scyliorhinus stellaris,77,large at maturity
Squalus acanthias,67.33333333,large at maturity
Torpedo marmorata,31.5,large at maturity
Trigla lyra,30,large at maturity
