"Data source: ICES. (2006Ð2018). Official Nominal Catches. Version June 2020, Accessed 15-10-2020 via https://ices.dk/marine-data/dataset-collections/Pages/Fish-catch-and-stock- assessment.aspx. ICES, Copenhagen. In.",,,
valid_name,FAO_species_code,sum of catch per species 2006-2018 from ICES Fish-catch-and-stock-assessment.aspx (15.10.2020),metric tonnes live weight,"high, medium or low catch category."
Agonus cataphractus,AFT,7.05,low
Alosa alosa,ASD,2466.24,mid
Alosa fallax,TSD,4490.4,mid
Ammodytes tobianus,ABZ,3856.01,mid
Anarhichas lupus,CAA,787917.726,high
Anguilla anguilla,ELE,46666.89,high
Anthias anthias,AHN,58.46,low
Aphanopus carbo,BSF,262201.902,high
Argentina silus,ARU,216371.05,high
Argentina sphyraena,ARY,149393.3,high
Argyrosomus regius,MGR,52937.57,high
Arnoglossus imperialis,RLI,0.03,low
Arnoglossus laterna,MSF,254.31,mid
Arnoglossus thori,RNH,84.31,low
Atherina presbyter,ATP,428.57,mid
Belone belone,GAR,34509.448,high
Beryx splendens,BYS,10858.18,high
Boops boops,BOG,276489.83,high
Brama brama,POA,208306.8,high
Brosme brosme,USK,1194783.213,high
Buglossidium luteum,GSM,2.25,low
Callionymus lyra,LYY,65.77,low
Capros aper,BOC,393050.19,high
Caranx rhonchus,HMY,981.61,mid
Centrolophus niger,CEO,20.91,low
Cepola macrophthalma,CBC,3008.15,mid
Chelidonichthys lucerna,GUU,156730.02,high
Chelidonichthys obscurus,GUM,709.05,mid
Chimaera monstrosa,CMO,14245.31,high
Ciliata mustela,LCM,13.71,low
Citharus linguatula,CIL,2538.64,mid
Clupea harengus,HER,86346622.08,high
Conger conger,COE,479389.862,high
Coryphaenoides rupestris,RNG,218855.359,high
Ctenolabrus rupestris,TBR,7197.98,mid
Cyclopterus lumpus,LUM,305702.4,high
Dalatias licha,SCK,353.77,mid
Deania calcea,DCA,1000.56,mid
Dentex gibbosus,DEP,649.68,mid
Dicentrarchus labrax,BSS,252056.2185,high
Dicologlossa cuneata,CET,38689.45,high
Diplodus annularis,ANN,2443.73,mid
Diplodus bellottii,DHQ,0.03,low
Diplodus vulgaris,CTB,16815.39,high
Enchelyopus cimbrius,ENC,0.4,low
Engraulis encrasicolus,ANE,924624.95,high
Epigonus telescopus,EPI,1940.37,mid
Etmopterus spinax,ETX,1710.48,mid
Eutrigla gurnardus,GUG,49153.826,high
Gadiculus argenteus,GDG,47893.27,high
Gadus morhua,COD,50693611.41,high
Gaidropsarus biscayensis,GGY,17.1,low
Gaidropsarus vulgaris,GGU,8.07,low
Galeorhinus galeus,GAG,25379.335,high
Galeus melastomus,SHO,3378.38,mid
Glyptocephalus cynoglossus,WIT,342192.201,high
Gobius niger,GBN,0.3,low
Helicolenus dactylopterus,BRF,107849.81,high
Hexanchus griseus,SBL,113.13,mid
Hippoglossoides platessoides,PLA,127905.312,high
Hippoglossus hippoglossus,HAL,145472.252,high
Labrus bergylta,USB,20427.29,high
Lepidopus caudatus,SFS,43814,high
Lepidorhombus boscii,LDB,1200.2,mid
Lepidorhombus whiffiagonis,MEG,99860.2,high
Lepidotrigla cavillone,LDV,7284.41,mid
Lepidotrigla dieuzeidei,LEP,2,low
Limanda limanda,DAB,405925.021,high
Liparis montagui,LIM,0.03,low
Lophius budegassa,ANK,6386.7,mid
Lophius piscatorius,MON,735423.956,high
Macroramphosus scolopax,SNS,56.2,low
Malacocephalus laevis,MLL,0.18,low
Maurolicus muelleri,MAV,7826.63,mid
Melanogrammus aeglefinus,HAD,15415744.98,high
Merlangius merlangus,WHG,1270568.599,high
Merluccius merluccius,HKE,3217014.373,high
Microchirus azevia,MIA,1136.79,mid
Microchirus variegatus,MKG,5484.41,mid
Micromesistius poutassou,WHB,54520795.13,high
Microstomus kitt,LEM,427165.038,high
Molva dypterygia,BLI,369005.178,high
Molva macrophthalma,SLI,1932.2,mid
Molva molva,LIN,1980774.116,high
Mora moro,RIB,8763.01,mid
Mullus surmuletus,MUR,171749.1809,high
Mustelus asterias,SDS,1014.91,mid
Mustelus mustelus,SMD,14076.5,high
Myoxocephalus scorpius,MXV,3451.4,mid
Myxine glutinosa,MYG,265.76,mid
Nezumia aequalis,NZA,0,low
Osmerus eperlanus,SME,197995.33,high
Pagellus acarne,SBA,44268.57,high
Pagellus bellottii,PAR,45.04,low
Pagellus bogaraveo,SBR,52264.06,high
Pagellus erythrinus,PAC,10677.07,high
Phycis blennoides,GFB,100663.17,high
Platichthys flesus,FLE,1060339.999,high
Pleuronectes platessa,PLE,3868562.656,high
Pollachius pollachius,POL,371007.6829,high
Pollachius virens,POK,17744137.62,high
Pomadasys incisus,BGR,2.22,low
Raja brachyura,RJH,66571.751,high
Raja clavata,RJC,153012.452,high
Raja microocellata,RJE,7463.711,mid
Raja montagui,RJM,56448.28,high
Raja undulata,RJU,2210.459,mid
Sardina pilchardus,PIL,3959563.35,high
Scomber colias,VMA,1645747.07,high
Scomber scombrus,MAC,38632264.29,high
Scophthalmus rhombus,BLL,105534.244,high
Scorpaena notata,SNQ,374.18,mid
Scorpaena scrofa,RSE,3601.07,mid
Scyliorhinus canicula,SYC,245065.842,high
Scyliorhinus stellaris,SYT,29791.588,high
Scymnodon ringens,SYR,3542.84,mid
Sebastes viviparus,SFV,25675.09,high
Serranus cabrilla,CBR,8794.97,mid
Serranus hepatus,SRJ,1.92,low
Solea solea,SOL,936987.9241,high
Sparus aurata,SBG,33742.401,high
Spicara maena,BPI,65.34,low
Spondyliosoma cantharus,BRB,166257.7366,high
Sprattus sprattus,SPR,23897067.18,high
Squalus acanthias,DGS,46146.67,high
Symphodus melops,YFM,10260.38,high
Torpedo marmorata,TTR,808.32,mid
Trachinus draco,WEG,69430.32,high
Trachurus mediterraneus,HMM,18978.54,high
Trachurus picturatus,JAA,241553.54,high
Trachurus trachurus,HOM,5679593.38,high
Trachyrincus scabrus,TSU,3645.03,mid
Trigla lyra,GUN,1003.44,mid
Trisopterus esmarkii,NOP,2016767.27,high
Trisopterus luscus,BIB,415473.656,high
Trisopterus minutus,POD,1018.66,mid
Umbrina canariensis,UCA,1682.5,mid
Zeugopterus punctatus,ZGP,6.21,low
Zeus faber,JOD,150068.147,high
Zoarces viviparus,ELP,3673.7,mid
